,distrito,valor-compra
282,leiria,210000.0
334,porto,137000.0
133,lisboa,180000.0
294,porto,170000.0
278,setúbal,136500.0
187,porto,150000.0
248,setúbal,160.0
131,braga,115000.0
116,setúbal,275000.0
143,lisboa,257000.0
28,porto,157000.0
53,lisboa,240000.0
253,porto,230000.0
46,porto,147000.0
142,porto,218000.0
93,lisboa,285000.0
184,porto,100000.0
83,porto,250000.0
166,lisboa,140000.0
96,lisboa,136000.0
327,lisboa,234500.0
239,lisboa,180000.0
87,porto,145000.0
396,porto,185000.0
307,lisboa,350000.0
59,porto,75000.0
128,porto,210000.0
121,lisboa,190000.0
247,lisboa,195000.0
400,lisboa,402500.0
349,lisboa,220000.0
274,lisboa,100000.0
112,aveiro,132500.0
377,setúbal,117.0
81,castelo branco,175000.0
110,porto,280000.0
326,lisboa,360000.0
322,braga,320000.0
54,porto,175.0
310,porto,150000.0
206,leiria,250000.0
171,setúbal,125000.0
185,lisboa,320000.0
55,porto,170000.0
26,lisboa,300000.0
117,lisboa,260000.0
138,porto,260000.0
108,lisboa,160000.0
99,porto,80.0
328,porto,150000.0
409,lisboa,453000.0
296,porto,190000.0
346,porto,125000.0
232,lisboa,196000.0
343,porto,85000.0
332,lisboa,385000.0
262,porto,209000.0
40,setúbal,142000.0
360,lisboa,165000.0
366,porto,142500.0
42,lisboa,400000.0
18,lisboa,200000.0
403,porto,273000.0
308,porto,260000.0
287,porto,125000.0
29,lisboa,270000.0
347,aveiro,174500.0
299,lisboa,262000.0
160,leiria,165000.0
134,porto,173000.0
205,lisboa,242500.0
378,aveiro,85000.0
118,porto,148000.0
152,porto,300000.0
319,lisboa,367000.0
249,lisboa,212500.0
277,porto,250.0
266,porto,225000.0
38,lisboa,310000.0
95,braga,150000.0
89,porto,150000.0
336,lisboa,330.0
107,porto,175000.0
224,setúbal,180000.0
306,lisboa,120000.0
414,ilha de são miguel,230000.0
80,porto,126000.0
74,porto,126.0
167,porto,180000.0
37,lisboa,187500.0
353,porto,260000.0
271,setúbal,265000.0
289,porto,200000.0
364,lisboa,350000.0
241,lisboa,860000.0
390,lisboa,325000.0
298,lisboa,362500.0
159,lisboa,256000.0
51,porto,250000.0
220,lisboa,140000.0
